"","bodyid","pre","post","upstream","downstream","status","statusLabel","voxels","cropped","name","type","cellBodyFiber.x","notes","soma","ItoLee_Hemilineage","Hartenstein_Hemilineage","cellBodyFiber.y","cell.type","layer","ct.layer","FAFB.match","FAFB.match.quality","flywire.xyz","flywire.id","LM.match","LM.match.quality","CATMAID.nblast.top","flywire.nblast.top","User","note"
"49",5812995328,293,667,667,2789,"Traced","Roughly traced",610593817,FALSE,"M_lvPNm26_R","M_lvPNm26","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm26",2.893,3,"1144402","good","(119060.57, 63137.27, 1797)","720575940606331659","GMR_SS01331-20150814_31_G6","good",NA,NA,"ASB",NA
"50",1670973150,311,675,675,2487,"Traced","Roughly traced",558723185,FALSE,"M_lvPNm27_R","M_lvPNm27","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm27",2.344,2,"57220","good","(120691.945, 60953.3275, 2095)","720575940617304837",NA,NA,NA,NA,"ASB",NA
"51",1670969304,317,496,496,2537,"Traced","Roughly traced",474385439,FALSE,"M_lvPNm28_R","M_lvPNm28","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm28",2.939,3,"1136366","good","(120871.39, 61887.11, 1883)","720575940611948584",NA,NA,NA,NA,"ASB",NA
"52",1672293837,258,448,448,2422,"Traced","Roughly traced",426357081,FALSE,"M_lvPNm29_R","M_lvPNm29","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm29",3.045,3,"1137895","good","(120327.345, 62818.45, 1756)","720575940625298825",NA,NA,NA,NA,"ASB",NA
"53",5813079228,266,449,449,2371,"Traced","Roughly traced",413726938,FALSE,"M_lvPNm30_R","M_lvPNm30","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm30",2.959,3,"56995","good","(119251.925, 62368.6925, 1917)","720575940622076424",NA,NA,NA,NA,"ASB",NA
"54",1943811511,258,268,268,2055,"Traced","Roughly traced",299865768,FALSE,"M_lvPNm31_R","M_lvPNm31","AVM06",NA,FALSE,"ALlv1","BAlp4","AVM06","M_lvPNm31",2.835,3,"56983","good","(120150.61, 62287.745, 1834)","720575940643320697",NA,NA,NA,NA,"ASB",NA
"55",329599710,247,285,285,2051,"Traced","Roughly traced",344079818,FALSE,"M_lvPNm32_R","M_lvPNm32","AVM06",NA,FALSE,"ALlv1","BAlp4","AVM06","M_lvPNm32",2.683,3,"177656","good","(119314.5075, 62350.335, 1936)","720575940627471354",NA,NA,NA,NA,"ASB",NA
"56",1759999022,225,373,373,1731,"Traced","Roughly traced",467141899,FALSE,"M_lvPNm33_R","M_lvPNm33","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm33",2.462,2,"1136923","good","(119447.775, 62221.1, 1936)","720575940613239711",NA,NA,NA,NA,"ASB",NA
"57",5813069532,262,391,391,2170,"Traced","Roughly traced",502896169,FALSE,"M_lvPNm34_R","M_lvPNm34","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm34",2.357,2,"5494609","good","(120211.75, 62233.25, 1993)","720575940604974978",NA,NA,NA,NA,"ASB",NA
"58",1670597454,246,433,433,1943,"Traced","Roughly traced",479973025,FALSE,"M_lvPNm35_R","M_lvPNm35","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm35",2.296,2,"57196","good","(118572.46, 60805.2775, 2118)","720575940615535296",NA,NA,NA,NA,"ASB",NA
