"","bodyid","ItoLee_Hemilineage","Hartenstein_Hemilineage","cellBodyFiber","cell.type","layer","ct.layer","FAFB.match","FAFB.match.quality","flywire.xyz","flywire.id","LM.match","LM.match.quality","CATMAID.nblast.top","flywire.nblast.top","User","note"
"83",294792184,"ALv1","BAla1","AVM04","M_vPNml53",2.506,2,"3813499","good","(118757.75, 59935, 2063)","720575940630987693",NA,NA,NA,NA,"ASB",NA
"84",1570685224,"ALv1","BAla1","AVM04","M_vPNml53",2.55,2,"6967069","good","(118923.415, 59938.1675, 2058)","720575940627399806",NA,NA,NA,NA,"ASB",NA
"85",5813008771,"ALv1","BAla1","AVM04","M_vPNml53",2.377,2,"1724508","good","(118926.625, 59755.84, 2002)","720575940613638843",NA,NA,NA,NA,"ASB",NA
"86",1570684665,"ALv1","BAla1","AVM04","M_vPNml54",2.211,2,"3467989","good","(119194.75, 59833.55, 2035)","720575940626199281",NA,NA,NA,NA,"ASB",NA
"87",1570685033,"ALv1","BAla1","AVM04","M_vPNml54",2.121,2,"3813278","good","(96142, 35008.25, 4823)","720575940619676254",NA,NA,NA,NA,"ASB",NA
"88",886812643,"ALv1","BAla1","AVM04","M_vPNml55",2.9,3,"2645953","good","(113330.1875, 62634.845, 1628)","720575940622090677",NA,NA,NA,NA,"ASB",NA
"89",667823920,"ALv1","BAla1","AVM04","M_vPNml56",2.118,2,"6700447","good","(116125.1875, 60291.2025, 2012)","720575940628478015",NA,NA,NA,NA,"ASB",NA
"90",1069929827,"ALv1","BAla1","AVM04","M_vPNml57",2.443,2,"3813331","good","(116252.975, 59805.6325, 1866)","720575940618601966",NA,NA,NA,NA,"ASB",NA
"91",634707780,"ALv1","BAla1","AVM04","M_vPNml58",2.091,2,"1532304","good","(115964.9375, 59775.735, 1889)","720575940627645696",NA,NA,NA,NA,"ASB",NA
"92",636418270,"ALv1","BAla1","AVM04","M_vPNml58",2.12,2,"4624346","good","(116783.21, 60071.5775, 2002)","720575940631355874",NA,NA,NA,NA,"ASB",NA
"93",5813034081,"ALv1","BAla1","AVM04","M_vPNml58",2.11,2,"3813399","good","(116888.5, 59910.5, 1971)","720575940609977011",NA,NA,NA,NA,"ASB",NA
"94",792616185,"ALv1","BAla1","AVM04","M_vPNml59",2.439,2,"4812228","good","(115335.6, 59861.7575, 1839)","720575940623575856",NA,NA,NA,NA,"ASB",NA
"95",975457916,"ALv1","BAla1","AVM04","M_vPNml60",2.413,2,"4631791","good","(116791.47, 61064.005, 2057)","720575940614464773",NA,NA,NA,NA,"ASB",NA
"96",976830572,"ALv1","BAla1","AVM04","M_vPNml60",2.395,2,"3813447","good","(116435.5, 61183.0075, 2046)","720575940614774923",NA,NA,NA,NA,"ASB",NA
"97",5812983053,"ALv1","BAla1","AVM04","M_vPNml60",2.413,2,"3813442","good","(118513, 60641.2775, 2134)","720575940608295032",NA,NA,NA,NA,"ASB",NA
"98",1039237469,"ALv1","BAla1","AVM04","M_vPNml61",2.911,3,"3813438","good","(116395.0625, 61402.755, 2001)","720575940613521714",NA,NA,NA,NA,"ASB",NA
"99",1070613107,"ALv1","BAla1","AVM04","M_vPNml61",2.822,3,"3813438",NA,NA,NA,NA,NA,NA,NA,"ASB",NA
"100",947513805,"ALv1","BAla1","AVM04","M_vPNml62",2.967,3,"3813424","good","(117701.5, 60802.0075, 2153)","720575940625121669",NA,NA,NA,NA,"ASB",NA
"101",1415825344,"ALv1","BAla1","AVM04","M_vPNml63",2.34,2,"1909670","good","(112119.165, 62585.53, 1570)","720575940618704705",NA,NA,NA,NA,"ASB",NA
"102",1857143769,"ALv1","BAla1","AVM04","M_vPNml63",2.113,2,"3998193","good","(112822.265, 63292.72, 1686)","720575940617789131",NA,NA,NA,NA,"ASB",NA
"103",1099911913,"ALv1","BAla1","AVM04","M_vPNml64",2.093,2,"3139915","good","(112311.695, 63469.9175, 1633)","720575940637358451",NA,NA,NA,NA,"ASB",NA
"104",1322012611,"ALv1","BAla1","AVM04","M_vPNml64",2.136,2,"3663498","good","(112678.45, 63444.155, 1694)","720575940617038203",NA,NA,NA,NA,"ASB",NA
"105",977866721,"ALv1","BAla1","AVM04","M_vPNml65",2.63,2,"3922783","good","(113540.97, 62230.485, 1812)","720575940623478160",NA,NA,NA,NA,"ASB",NA
"106",5813041247,"ALv1","BAla1","AVM04","M_vPNml65",2.238,2,"3999003","good","(114605.695, 61622.995, 1811)","720575940629083979",NA,NA,NA,NA,"ASB",NA
