"","query","pre_id","weight","n","type","xyz"
"357","720575940643268206","720575940633289208",12,1,"VA7m_lPN","(114702.05, 61250.3825, 1433)"
"358","720575940643268206","720575940635547325",12,1,NA,NA
"359","720575940643268206","720575940638426064",12,1,"il3LN6","(123456.25, 83791.75, 2704)"
"360","720575940631539993","720575940616955943",12,1,NA,NA
"361","720575940631539993","720575940618174635",12,1,NA,NA
"362","720575940631539993","720575940624915425",12,1,NA,NA
"363","720575940631539993","720575940625588228",12,1,NA,NA
"364","720575940631539993","720575940625830400",12,1,NA,NA
"365","720575940631539993","720575940626718208",12,1,NA,NA
"366","720575940631539993","720575940631794969",12,1,NA,NA
"367","720575940643267950","720575940603831654",11,1,NA,NA
"368","720575940643267950","720575940605054898",11,1,"LHCENT8#2","95257, 67544, 3885"
"369","720575940643267950","720575940612421893",11,1,NA,NA
"370","720575940643267950","720575940613038153",11,1,NA,NA
"371","720575940643267950","720575940613048461",11,1,NA,NA
"372","720575940643267950","720575940618047280",11,1,NA,NA
"373","720575940643267950","720575940619863902",11,1,"lLN1_c","(113540.25, 60484.75, 1615)"
"374","720575940643267950","720575940625542929",11,1,"lLN2F_b","(115253.65, 57891.585, 1438)"
"375","720575940643267950","720575940628554860",11,1,NA,NA
"376","720575940643267950","720575940633039925",11,1,"V_ilPN","(125090.2, 76280.85, 2928)"
"377","720575940611933905","720575940608297080",11,1,NA,NA
"378","720575940611933905","720575940612872477",11,1,NA,NA
"379","720575940611933905","720575940617235928",11,1,NA,NA
"380","720575940611933905","720575940620296428",11,1,NA,NA
"381","720575940611933905","720575940621123113",11,1,NA,NA
"382","720575940611933905","720575940622295111",11,1,NA,NA
"383","720575940611933905","720575940626810959",11,1,NA,NA
"384","720575940611933905","720575940628035543",11,1,NA,NA
"385","720575940611933905","720575940628116188",11,1,NA,NA
"386","720575940611933905","720575940636958625",11,1,NA,NA
"387","720575940643268206","720575940611004414",11,1,NA,NA
"388","720575940643268206","720575940611236504",11,1,NA,NA
"389","720575940643268206","720575940613063650",11,1,NA,NA
"390","720575940643268206","720575940614719266",11,1,NA,NA
"391","720575940643268206","720575940617436632",11,1,NA,NA
