"","query","post_id","weight","n","type","xyz"
"29","720575940628000567","720575940611648209",42,1,"LHAV1a3","(92769.555, 45457.95, 3635)"
"30","720575940616624182","720575940606330716",42,1,"LHPV1c2","(142535, 37321.785, 3806)"
"31","720575940616624182","720575940637419325",42,1,NA,NA
"32","720575940616624182","720575940643268206",42,1,"M_vPNml50","(119828.6, 60110.2925, 1919)"
"33","720575940628000567","720575940637419325",41,1,NA,NA
"34","720575940616624182","720575940619022145",41,1,NA,NA
"35","720575940616624182","720575940637281725",41,1,"OA-VUMa2","(131824.4375, 71616.805, 3521)"
"36","720575940628000567","720575940615815453",40,1,NA,NA
"37","720575940616624182","720575940623039672",40,1,"M_vPNml66","(117131.36, 61372.725, 2004)"
"38","720575940628000567","720575940634388452",39,1,NA,NA
"39","720575940616624182","720575940618445550",39,1,NA,NA
"40","720575940628000567","720575940613406786",37,1,"mALB1","(163131.725, 40543.255, 3267)"
"41","720575940628000567","720575940619022145",36,1,NA,NA
"42","720575940628000567","720575940625121669",36,1,"M_vPNml62","(117701.5, 60802.0075, 2153)"
"43","720575940628000567","720575940644439331",36,1,"mALB1_L","101141, 38759, 3833"
"44","720575940628000567","720575940628392279",35,1,NA,NA
"45","720575940616624182","720575940631539993",35,1,"M_vPNml50_L","157220, 46897, 2817"
"46","720575940628000567","720575940608130606",34,1,NA,NA
"47","720575940628000567","720575940611933905",34,1,"M_vPNml50_L","156437, 46637, 2817"
"48","720575940628000567","720575940643267950",34,1,"M_vPNml50","(118190.445, 60474.0475, 1683)"
"49","720575940616624182","720575940609903602",34,1,NA,NA
"50","720575940616624182","720575940628000567",33,1,"M_imPNl92","(130887.5, 85562.25, 3377)"
"51","720575940616624182","720575940617210516",32,1,NA,NA
"52","720575940616624182","720575940621203690",32,1,"LHAV1b4","(93549.07, 46519.9, 3620)"
"53","720575940616624182","720575940643267950",32,1,"M_vPNml50","(118190.445, 60474.0475, 1683)"
"54","720575940628000567","720575940631539993",31,1,"M_vPNml50_L","157220, 46897, 2817"
"55","720575940628000567","720575940632713279",31,1,"LHAV4a3_b","(91216.75, 42880.5, 3699)"
"56","720575940616624182","720575940630065768",31,1,"OA-VUMa2","(132230.5, 72240.75, 4239)"
"57","720575940628000567","720575940618445550",30,1,NA,NA
"58","720575940628000567","720575940643268206",30,1,"M_vPNml50","(119828.6, 60110.2925, 1919)"
"59","720575940616624182","720575940622932494",30,1,NA,NA
"60","720575940616624182","720575940628393559",30,1,NA,NA
"61","720575940628000567","720575940617210516",29,1,NA,NA
"62","720575940616624182","720575940608130606",29,1,NA,NA
"63","720575940616624182","720575940625121669",29,1,"M_vPNml62","(117701.5, 60802.0075, 2153)"
"64","720575940616624182","720575940633572463",29,1,"LHAV1a3","(93201.415, 48798.0425, 3510)"
"65","720575940616624182","720575940634388452",29,1,NA,NA
"66","720575940628000567","720575940626218601",28,1,"LHPV2a1_c","(95366.2575, 48905.0125, 4566)"
"67","720575940628000567","720575940639962497",28,1,NA,NA
